,id,label,alma,field,award,occupation
175,Q4734303,Alok R. Chaturvedi,"'Birla Institute of Technology, Mesra', 'University of Wisconsin–Milwaukee'",,,artificial intelligence researcher
176,Q4865105,Bart Selman,"'University of Toronto', 'Delft University of Technology'",,"'AAAS Fellow', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
177,Q5696759,Hector Levesque,'University of Toronto',,"'IJCAI Award for Research Excellence', 'IJCAI Computers and Thought Award', 'AAAI Fellow', 'Fellow of the Royal Society of Canada'",artificial intelligence researcher
178,Q5934631,Hugo de Garis,'Université libre de Bruxelles',"'artificial intelligence', 'Evolvable hardware'",,artificial intelligence researcher
179,Q6438346,Kristinn R. Thórisson,"'Massachusetts Institute of Technology', 'University of Iceland'",,,artificial intelligence researcher
180,Q6490242,Larry E. Smith,'University of Toronto',,,artificial intelligence researcher
181,Q4678847,Adam Cheyer,"'Brandeis University', 'University of California, Los Angeles', 'Sharon High School'",'artificial intelligence',,artificial intelligence researcher
182,Q4811519,Astro Teller,"'Stanford University', 'Carnegie Mellon University'",,,artificial intelligence researcher
183,Q5230499,David A. McAllester,'Massachusetts Institute of Technology',,'AAAI Fellow',artificial intelligence researcher
184,Q5524998,Gary Drescher,'Massachusetts Institute of Technology',,,artificial intelligence researcher
185,Q6135847,James Hendler,"'Yale University', 'Brown University', 'Southern Methodist University'",'artificial intelligence',"'IEEE Fellow', 'Fellow of the British Computer Society', 'AAAS Fellow', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
186,Q6293391,José Mauro Volkmer de Castilho,'Federal University of Rio Grande do Sul',,,artificial intelligence researcher
187,Q4707215,Alan Mackworth,'Harvard University',,"'AAAI Fellow', 'Fellow of the Royal Society of Canada'",artificial intelligence researcher
188,Q5006808,C. Raymond Perrault,"'McGill University', 'University of Michigan'",'artificial intelligence','AAAI Fellow',artificial intelligence researcher
189,Q6265139,John Yen,"'University of California, Berkeley', 'Santa Clara University'",,,artificial intelligence researcher
190,Q5199899,Cynbe ru Taren,,,,artificial intelligence researcher
191,Q5214819,Dana S. Nau,"'Duke University', 'Missouri University of Science and Technology'",'Automated planning and scheduling',"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
192,Q5232553,David Cope,,,,artificial intelligence researcher
193,Q5364879,Ellen Hildreth,'Massachusetts Institute of Technology',,"'Presidential Young Investigator Award', 'AAAI Fellow'",artificial intelligence researcher
194,Q5386185,Eric Brill,"'University of Pennsylvania', 'University of Texas at Austin', 'University of Chicago'",,,artificial intelligence researcher
195,Q6114143,Jack Minker,"'University of Pennsylvania', 'Brooklyn College'",,"'IEEE Fellow', 'AAAS Fellow', 'ACM Fellow', 'AAAI Fellow', 'Heinz R. Pagels Human Rights of Scientists Award', 'ACM - AAAI Allen Newell Award'",artificial intelligence researcher
196,Q6396777,Kevin Leyton-Brown,'Stanford University',,"'AAAI Fellow', 'ACM Distinguished Member'",artificial intelligence researcher
197,Q6686513,Louis-Philippe Morency,'Massachusetts Institute of Technology',,,artificial intelligence researcher
198,Q7037360,Nils John Nilsson,'Stanford University','artificial intelligence',"'IJCAI Award for Research Excellence', 'AAAI Fellow'",artificial intelligence researcher
199,Q7101544,Oren Etzioni,"'Harvard University', 'Carnegie Mellon University'",'computer science',,artificial intelligence researcher
200,Q7182032,Phil Husbands,'University of Edinburgh',,,artificial intelligence researcher
201,Q7329766,Richard Waldinger,'Carnegie Mellon University',,"'Herbrand Award', 'AAAI Fellow'",artificial intelligence researcher
202,Q7345367,Robert Hecht-Nielsen,'Arizona State University',,,artificial intelligence researcher
203,Q7473569,Toby Walsh,"'University of Cambridge', 'University of Edinburgh'",'artificial intelligence',"'AAAI Fellow', 'Fellow of the Australian Academy of Science'",artificial intelligence researcher
204,Q7378734,Rui de Figueiredo,"'Harvard University', 'Massachusetts Institute of Technology', 'Harvard School of Engineering and Applied Sciences'",,'IEEE Fellow',artificial intelligence researcher
205,Q15994741,John Shawe-Taylor,"'University of Ljubljana', 'University of London', 'Imperial College London'",,,artificial intelligence researcher
206,Q15995469,Munindar P. Singh,"'University of Texas at Austin', 'Indian Institute of Technology Delhi'",,"'IEEE Fellow', 'AAAS Fellow', 'AAAI Fellow'",artificial intelligence researcher
207,Q7360779,Rolf Pfeifer,'ETH Zürich',,,artificial intelligence researcher
208,Q16847797,Mustafa Suleyman,,,'Commander of the Order of the British Empire',artificial intelligence researcher
209,Q7615001,Steven M. LaValle,,'robotics',,artificial intelligence researcher
210,Q16027697,Jun Wang,'Peking University','genomics',"""Nature's 10""",artificial intelligence researcher
211,Q17403115,Afzal Upal,,,,artificial intelligence researcher
212,Q19289075,Carme Torras,,,"'Premio Nacional de Investigación Julio Rey Pastor', 'Premi Ictineu', 'Q31073982', 'National Research Award- Catalonia', 'Q65645581', 'Narcís Monturiol Medal'",artificial intelligence researcher
213,Q21062282,Adam Gibson,,,,artificial intelligence researcher
214,Q19879460,Henry Kautz,"'Cornell University', 'University of Rochester', 'University of Toronto', 'Johns Hopkins University'",'artificial intelligence',"'AAAS Fellow', 'IJCAI Computers and Thought Award', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
215,Q19364605,Peter Stone,'Carnegie Mellon University',,"'IJCAI Computers and Thought Award', 'AAAI Fellow'",artificial intelligence researcher
216,Q7935571,Visakan Kadirkamanathan,'University of Cambridge',,,artificial intelligence researcher
217,Q21066874,Pedro Domingos,"'University of California, Irvine', 'Technical University of Lisbon', 'Instituto Superior Técnico'",'artificial intelligence',"'Fulbright Scholarship', 'Sloan Fellowship', 'AAAI Fellow'",artificial intelligence researcher
218,Q13269080,Category:Logic programming researchers,,,,artificial intelligence researcher
219,Q25189853,Alex Graves,'Technical University of Munich',,,artificial intelligence researcher
220,Q15995094,Lise Getoor,'Stanford University',,"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
221,Q16729246,Michael Georgeff,'University of Melbourne',,,artificial intelligence researcher
222,Q7652008,Sven Koenig,'Carnegie Mellon University','artificial intelligence','AAAI Fellow',artificial intelligence researcher
223,Q7803487,Tim Finin,"'Massachusetts Institute of Technology', 'University of Illinois at Urbana–Champaign', 'Big Foot High School'","'artificial intelligence', 'natural language processing', 'Semantic Web', 'knowledge-based system', 'social informatics'","'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
224,Q8592573,Category:Machine learning researchers,,,,artificial intelligence researcher
225,Q24004971,Francesca Rossi,"'University of Padua', 'University of Pisa'",,'AAAI Fellow',artificial intelligence researcher
226,Q27831155,Lior Ron,'Stanford Graduate School of Business',,,artificial intelligence researcher
227,Q10920533,Zhi-Hua Zhou,'Nanjing University',,"'IEEE Fellow', 'ACM Fellow', 'AAAI Fellow', 'Fellow of the International Association for Pattern Recognition', 'ACM Distinguished Member'",artificial intelligence researcher
228,Q15517506,Oussama Khatib,"'Stanford University', ""Institut Supérieur de l'Aéronautique et de l'Espace""","'computer science', 'robotics'","'IEEE Fellow', 'PROSE Awards'",artificial intelligence researcher
229,Q15480023,Robert Wilensky,'Yale University',,"'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
230,Q15994542,Nick Jennings,"'Queen Mary University of London', 'University of Exeter'",,"'IEEE Fellow', 'Fellow of the British Computer Society', 'IJCAI Computers and Thought Award', 'Fellow of the Royal Society of Arts', 'Fellow of the Royal Academy of Engineering', 'AAAI Fellow', 'Fellow of the Institution of Engineering and Technology'",artificial intelligence researcher
231,Q15995108,Barbara J. Grosz,"'Cornell University', 'University of California, Berkeley'",'artificial intelligence',"'Fellow of the Royal Society of Edinburgh', 'AAAS Fellow', 'IJCAI Award for Research Excellence', 'ACM Fellow', 'AAAI Fellow', 'ACM - AAAI Allen Newell Award', 'AAAS Fellow'",artificial intelligence researcher
232,Q15995373,Pierre-Yves Oudeyer,"'École Normale Supérieure de Lyon', 'Pierre and Marie Curie University'",,'Q58023414',artificial intelligence researcher
233,Q16132585,Amnon Shashua,"'Weizmann Institute of Science', 'Massachusetts Institute of Technology', 'Tel Aviv University'",'computer science',"'Dan David Prize', 'Michael Landau Prize'",artificial intelligence researcher
234,Q7364451,Ron Sun,'Brandeis University',,,artificial intelligence researcher
235,Q7451965,Sepp Hochreiter,'Technical University of Munich',,,artificial intelligence researcher
236,Q16591761,Ben Taskar,'Stanford University',,,artificial intelligence researcher
237,Q7916327,Vasant Honavar,"'Drexel University', 'University of Wisconsin–Madison', 'Bangalore University'",,'AAAS Fellow',artificial intelligence researcher
238,Q8445862,Category:Fellows of the Association for the Advancement of Artificial Intelligence,,,,artificial intelligence researcher
239,Q17612194,"John Henry Clippinger, Jr.","'Yale University', 'Annenberg School for Communication at the University of Pennsylvania'",,,artificial intelligence researcher
240,Q18817338,Noriko Arai,"'Hitotsubashi University', 'University of Illinois at Urbana–Champaign', 'Tokyo Institute of Technology'",,,artificial intelligence researcher
241,Q23770411,Murray Shanahan,"'University of Cambridge', 'Imperial College London'",'artificial intelligence',,artificial intelligence researcher
242,Q15429177,Michael Uschold,"'University of Edinburgh', 'Rutgers University', 'Canisius College'",,,artificial intelligence researcher
243,Q16216565,Rayid Ghani,'Carnegie Mellon University','computer science',,artificial intelligence researcher
244,Q7328833,Richard S. Sutton,"'University of Massachusetts Amherst', 'Stanford University'",'reinforcement learning','AAAI Fellow',artificial intelligence researcher
245,Q7364966,Ronald J. Brachman,"'Harvard University', 'Princeton University'",'artificial intelligence',"'IEEE Fellow', 'ACM Fellow', 'AAAI Fellow'",artificial intelligence researcher
